"id","followers","genres","name","popularity"
"681fO0XlX51KMx0diyheyn",25801.00,"['polish hip hop']","DDK RPK",29
"682FUdadxb0BbBEJosAiSR",343.00,"['polish psychedelia']","Nene Heroine",4
"68A3j6yKw8ouhPYcTF88UL",188.00,"['polish death metal']","Conquest Icon",1
"68EJE3Q7SkpKvCUotVVthY",107675.00,"['classic polish pop', 'polish pop', 'polish prog', 'polish rock']","Budka Suflera",51
"68PIzmw7Ox2zjxmnfwHi1G",542.00,"['polish alternative']","VHS",13
"68bkktbABJemT6jMsJ5oNC",501.00,"['polish classical piano']","Aleksandra Mikulska",12
"68obhEc4aXQzldLg7qNlQK",6.00,"['polish contemporary classical']","Tadeusz Wielecki",0
"696DeimwcLsm9VXFYFd0u9",74.00,"['polish blues']","Los Agentos",0
"69GMxMopRsP8mWpieBd9Q1",2056.00,"['polish ambient']","Meeting by Chance",12
"69NL5xtJfHqpFaw0g3kvFT",2097.00,"['polish punk']","ADHD Syndrom",21
"69znI1kRhRjS9pFHP03urW",181.00,"['polish electronica']","The Party Is Over",3
"6A27cda26ajAto55kfbtUH",21251.00,"['disco polo', 'polish pop']","Jacek Stachursky",47
"6ASsF4ZKpJlpeRF7HarDfe",12342.00,"['polish alternative', 'polish pop']","Linia Nocna",43
"6AcCC5rxx5IAgQsvjJ6nPl",757.00,"['polish death metal']","Embrional",3
"6AxRCJHHlEGuRQMP1mBwVL",23159.00,"['classic polish pop', 'polish pop', 'sung poetry']","Alicja Majewska",38
"6B6uqfhlGltJJPF6BydT3i",1077.00,"['polish jazz']","Zbigniew Namysłowski Quintet",7
"6BbJlphnh1ma52LPIT38KO",12.00,"['polish experimental electronic']","Dat Rayon",0
"6BoLqGW2NuMvgHqiDbyfOC",15100.00,"['polish jazz']","Krzysztof Komeda",36
"6BoVf4UTF2000JNZ37uWra",69.00,"['polish blues']","Jaromi",1
"6Bxd17bbgCJA3NOKdtFuzi",2171.00,"['polish black metal', 'polish death metal', 'war metal']","Bestial Raids",4
"6C4LYDrCgPVRohxcvmJ5fH",1464.00,"['free folk', 'polish experimental', 'polish psychedelia']","Innercity Ensemble",6
"6CDM8i1eI2OkPmruOwwQV6",13429.00,"['polish post-rock', 'post-rock']","Distant Dream",33
"6CNuLp4GDqo7ILbxJpqVbR",58.00,"['polish choir']","Adam Mickiewicz University Academic Choir",3
"6CiVilCW5vnxvMb2BttjUM",152.00,"['polish black metal', 'polish death metal']","Cryptic Tales",0
"6CrjeGkrK5n8dOXgKzimGJ",3316.00,"['polish electronica', 'polish post-punk', 'polish synthpop']","Fair Weather Friends",15
"6Cs6aWlXUQ15Kxt411g1W2",21348.00,"['polish alternative rap', 'polish hip hop']","QueQuality",44
"6CuFL0X2I5MpO8RBQt55AC",1322.00,"['polish folk metal', 'slavic folk metal']","Cronica",15
"6DAQjwwMGZ9QgqHhIkU7H0",18733.00,"['german hip hop', 'polish hip hop']","Sentino",56
"6DHaOIm4mPuTOFf2paKv2h",2189.00,"['instrumental stoner rock', 'polish psychedelia', 'space rock']","Ampacity",16
"6DMuRVdgTNmZCYRlekKWvO",61222.00,"['polish alternative', 'polish alternative rap', 'polish hip hop']","Łona I Webber",49
"6Db18G8qBvMvBeOI4MkGB9",462.00,"['polish modern jazz']","Tomasz Chyła Quintet",16
"6DlY4cWd9bU4huCgoqQ665",4702.00,"['polish alternative', 'polish modern jazz']","Monika Borzym",32
"6E6qou5XcK7fjR7Ikvq0AP",9545.00,"['classic polish pop']","Ewa Bem",28
"6EB8VE9f7Ut6NOgviN6gDW",1149268.00,"['polish alternative', 'polish pop', 'talent show']","Dawid Podsiadło",66
"6ELctmHeJnQAWHaD1pH3sS",155.00,"['disco polo']","Diley",22
"6EOvX6RiCOufVx7dES5q0S",767.00,"['polish punk']","Babayaga Ojo",10
"6ERbDM6GATXmfz1TOVnwgM",304.00,"['polish indie rock', 'polish noise rock', 'polish post-punk']","Kiev Office",4
"6Ebo7LlYl3FJs8RmSOzIDY",1113.00,"['polish alternative rap']","Zioło",13
"6EftGBsXkIm4J3Q6QCKnXB",489.00,"['polish metal']","Titus' Tommy Gunn",1
"6EtPFq0WhAq7kzcryE23b4",27200.00,"['polish pop']","Ania Karwan",44
"6Ezq4Ty9VcEbXaWPFuQDHi",33.00,"['polish reggae']","Ratatam",0
"6F18RG9hPsyL9VBeqGYEas",29.00,"['polish modern jazz']","Kazimierz Jonkisz Energy",0
"6FBXA34MnddphskCyEz4v8",1540.00,"['polish alternative rap']","Chonabibe",20
"6FNBBOvdXklJa5GtTtVmVP",2838.00,"['polish alternative rap']","Na pół etatu",11
"6FPVb2p8k4LiX5VnOcnGWq",37587.00,"['polish hip hop']","Rogal DDL",43
"6FPamV3tkyoMVnCBPejBVy",98.00,"['polish synthpop']","Administratorr Electro",1
"6Fq0uZ2q54Xfu0I7E2jSZh",183.00,"['polish electronica']","Twardowski",2
"6G6aQNEdNwhDidOPzFbt3k",17.00,"['polish free jazz']","Kądziela / Wójciński",0
"6GIaCJPR0T7u4RsbcveHWa",125.00,"['polish electronica']","Wolfgang In a Truck",0
"6GcS25IeRT2ImIjqxhEQ0z",47.00,"['polish jazz']","Janusz Zdunek 5 Syfon",0
"6H1rXvjwXYLe7Kq5O5lTtm",6954.00,"['polish metal', 'post-metal', 'progressive doom', 'progressive sludge']","Blindead",18
